1,10,23,29,33,37,40,16,5140500,2537,113400,40155,10000
2,9,13,21,25,32,42,2,1842000,3763,100800,55480,10000
3,11,16,19,21,27,31,30,1174100,5940,54900,73256,10000
4,14,27,30,31,40,42,2,7282400,2777,152100,52382,10000
5,16,24,29,40,41,42,3,6033800,3043,166500,60434,10000
6,14,15,26,27,40,42,34,4267300,13445,87600,176375,10000
7,2,9,16,25,26,40,42,1605500,13229,65500,206259,10000
8,8,19,25,34,37,39,9,2268100,14279,110500,248242,10000
9,2,4,16,17,36,39,14,8743800,23672,260000,603375,10000
10,9,25,30,33,41,44,6,856400,703234,27300,3410846,10000
11,1,7,36,37,41,42,14,9307100,38515,206800,612805,10000
12,2,11,21,25,39,45,44,1417500,76845,70200,1115084,10000
13,22,23,25,37,38,42,26,5777400,29601,175600,726751,10000
14,2,6,12,31,33,40,15,2568700,77736,93900,1341756,10000
15,3,4,16,30,31,37,13,5571100,39202,144600,827538,10000
16,6,7,24,37,38,40,33,3385200,47255,123500,870770,10000
17,3,4,9,17,32,37,1,2342100,61651,86700,961162,10000
18,3,12,13,19,32,35,29,3953700,38453,136500,693323,10000
19,6,30,38,39,40,43,26,5971100,55154,150900,1135991,10000
20,10,14,18,20,23,30,41,3632100,48158,133900,827470,10000
21,6,12,17,18,31,32,21,1522400,82996,73600,1155368,10000
22,4,5,6,8,17,39,25,3669600,53248,113900,937961,10000
23,5,13,17,18,33,42,44,2098100,63717,90300,990081,10000
24,7,8,27,29,36,43,6,3425300,52777,120000,755905,10000
25,2,4,21,26,43,44,16,4417100,58903,166600,1096200,10000
26,4,5,7,18,20,25,31,2173500,72252,80600,1097093,10000
27,1,20,26,28,37,43,27,5494500,33509,189800,625925,10000
28,9,18,23,25,35,37,1,2434600,57870,97900,938483,10000
29,1,5,13,34,39,40,11,3936800,42347,139800,765661,10000
30,8,17,20,35,36,44,4,3336600,42319,137500,710466,10000
31,7,9,18,23,28,35,32,2391300,58406,92500,863641,10000
32,6,14,19,25,34,44,11,2264500,52704,103300,834746,10000
33,4,7,32,33,40,41,9,2336700,52142,95200,888943,10000
34,9,26,35,37,40,42,2,2015300,68519,74300,922063,10000
35,2,3,11,26,37,43,39,2708700,46866,107800,779854,10000
36,1,10,23,26,28,40,31,3475300,38321,139300,673755,10000
37,7,27,30,33,35,37,42,2908900,46334,107600,782490,10000
38,16,17,22,30,37,43,36,3957900,36377,147700,681031,10000
39,6,7,13,15,21,43,8,3753500,38752,135400,680975,10000
40,7,13,18,19,25,26,6,2356900,65081,76400,798374,10000
41,13,20,23,35,38,43,34,3282100,33805,135900,583744,10000
42,17,18,19,21,23,32,1,3275200,79543,115700,1393691,10000
43,6,31,35,38,39,44,1,3194600,45078,131200,776043,10000
44,3,11,21,30,38,45,39,3569100,40092,139700,696051,10000
45,1,10,20,27,33,35,17,3129700,45470,122500,775339,10000
46,8,13,15,23,31,38,39,2554000,45243,117700,745199,10000
47,14,17,26,31,36,45,27,3002600,40580,133400,679466,10000
48,6,10,18,26,37,38,3,1888700,58047,83200,874668,10000
49,4,7,16,19,33,40,30,1543600,66451,69000,929635,10000
50,2,10,12,15,22,44,1,3164000,40296,129700,664631,10000
51,2,3,11,16,26,44,35,2519300,45707,105900,706567,10000
52,2,4,15,16,20,29,1,3887200,34665,150000,619109,10000
53,7,8,14,32,33,39,42,3126100,45372,110500,742615,10000
54,1,8,21,27,36,39,37,3580400,34854,147700,617337,10000
55,17,21,31,37,40,44,7,3245700,42550,111000,746855,10000
56,10,14,30,31,33,37,19,1853100,41156,122300,744566,10000
57,7,10,16,25,29,44,6,2857200,44050,124500,763692,10000
58,10,24,25,33,40,44,1,1859600,58215,84200,880954,10000
59,6,29,36,39,41,45,13,4226900,35026,157100,626460,10000
60,2,8,25,36,39,42,11,2329500,45712,110800,735708,10000
61,14,15,19,30,38,43,8,3740000,41227,143100,714784,10000
62,3,8,15,27,29,35,21,3179900,41686,126400,700804,10000
63,3,20,23,36,38,40,5,3204700,41505,127200,712954,10000
64,14,15,18,21,26,36,39,3993600,37117,140000,654379,10000
65,4,25,33,36,40,43,39,2477800,52556,94500,848960,10000
66,2,3,7,17,22,24,45,3125600,40188,122200,712181,10000
67,3,7,10,15,36,38,33,2537900,46740,105500,748901,10000
68,10,12,15,16,26,39,38,3255800,43265,113400,735760,10000
69,5,8,14,15,19,39,35,3239300,41220,120300,704209,10000
70,5,19,22,25,28,43,26,3508500,36781,136700,645990,10000
71,5,9,12,16,29,41,21,3177500,39516,125700,659631,10000
72,2,4,11,17,26,27,1,1824500,113994,80300,1702959,10000
73,3,12,18,32,40,43,38,2029800,55608,99500,865131,10000
74,6,15,17,18,35,40,23,2588100,48438,109100,802633,10000
75,2,5,24,32,34,44,28,3194300,40782,127900,697174,10000
76,1,3,15,22,25,37,43,2956700,44504,111600,770522,10000
77,2,18,29,32,43,44,37,3615500,37033,139200,643154,10000
78,10,13,25,29,33,35,38,2578600,42450,110500,716323,10000
79,3,12,24,27,30,32,14,1904373,49431,92154,741871,10000
80,17,18,24,25,26,30,1,2651602,40251,114362,706432,10000
81,5,7,11,13,20,33,6,2162436,51654,87580,787258,10000
82,1,2,3,14,27,42,39,3810177,36139,134320,638058,10000
83,6,10,15,17,19,34,14,2775930,45924,102880,763287,10000
84,16,23,27,34,42,45,11,4026131,32402,157805,582445,10000
85,6,8,13,23,31,36,21,2804464,41746,110577,664492,10000
86,2,12,37,39,41,45,33,3887667,35057,135515,616434,10000
87,4,12,16,23,34,43,26,2639059,54768,120466,890859,10000
88,1,17,20,24,30,41,27,1729902,64639,63321,1098115,5000
89,4,26,28,29,33,40,37,1585195,72667,58463,1261896,5000
90,17,20,29,35,38,44,10,1691820,67888,64645,1160774,5000
91,1,21,24,26,29,42,27,1982242,64183,74431,1128902,5000
92,3,14,24,33,35,36,17,1393098,79319,57011,1307607,5000
93,6,22,24,36,38,44,19,1552106,68597,66160,1185275,5000
